num boards:,2,,,,,,,,,,,
,,,,,,,,,,,,
board,Id,Designator,Footprint,Quantity (per board),Safety margin (+ x%),Quantity (total),Designation,Supplier,Ref,Unit price,Price total,Link
rotary_encoder,1,"H1, H2",MountingHole_2.2mm_M2,2,0,4,MountingHole,,,,,
rotary_encoder,2,J1,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,100,4,Conn_01x04_Pin,Mouser,538-22-29-2041,0.579,2.316,https://www.mouser.de/en/ProductDetail/Molex/22-29-2041
rotary_encoder,3,SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,0,2,RotaryEncoder_Switch,Mouser,688-EC11E183440C,6.03,12.06,https://www.mouser.de/en/ProductDetail/Alps-Alpine/EC11E183440C
status_LED,1,"D1, D2, D3, D4",LED_D5.0mm,4,0,8,LED,Mouser,941-C503BABNCW0X0342,0.127,1.016,https://www.mouser.de/en/ProductDetail/Cree-LED/C503B-ABN-CW0X0342
status_LED,2,"H1, H2",MountingHole_2.2mm_M2,2,0,4,MountingHole,,,,,
status_LED,3,J1,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,1,0,2,Conn_01x05_Pin,Mouser,538-22-27-2051,0.36,0.72,https://www.mouser.de/en/ProductDetail/Molex/22-27-2051
control,1,A1,Arduino_Nano,1,0,2,Arduino_Nano_Every,Mouser,782-ABX00033,12.81,25.62,https://www.mouser.de/en/ProductDetail/Arduino/ABX00033
control,2,"C1, C4",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,0,4,0.1uF,Mouser,75-1C10X7R104K100B,0.198,0.792,https://www.mouser.de/en/ProductDetail/Vishay-Sprague/1C10X7R104K100B
control,3,C2,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0,2,10uF,Mouser,RCER71E106K3DBH03A,0.476,0.952,https://www.mouser.de/en/ProductDetail/Murata-Electronics/RCER71E106K3DBH03A
control,4,D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,0,2,1N5817,Mouser,625-1N5817-E3/73,0.132,0.264,https://www.mouser.de/en/ProductDetail/Vishay-Semiconductors/1N5817-E3-73
control,5,F1,FUSE_646_1_LTF,1,0,2,64600001003,Mouser,576-64600001003,0.903,1.806,https://www.mouser.de/en/ProductDetail/Littelfuse/64600001003
control,6,"H1, H2, H3, H4, H5, H6",MountingHole_3.2mm_M3,6,0,12,MountingHole,,,,,
control,7,IC1,SOP50P326X110-16N,1,100,4,TMUX4053DYYR,Mouser,595-TMUX4053DYYR,0.356,1.424,https://www.mouser.de/en/ProductDetail/Texas-Instruments/TMUX4053DYYR
control,8,"J1, J2, J3, J4",Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal,4,100,16,Conn_01x02_Pin,Mouser,538-43650-0200,0.785,12.56,https://www.mouser.de/en/ProductDetail/Molex/43650-0200
control,9,J5,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,1,100,4,Conn_01x05_Pin,Mouser,538-22-27-2051,0.36,1.44,https://www.mouser.de/en/ProductDetail/Molex/22-27-2051
control,10,"J6, J11",Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,2,100,8,Conn_01x04_Pin,Mouser,538-22-29-2041,0.579,4.632,https://www.mouser.de/en/ProductDetail/Molex/22-29-2041
control,11,J7,Molex_PicoBlade_53047-0810_1x08_P1.25mm_Vertical,1,100,4,Conn_01x08_Pin,Mouser,538-53047-0810,0.361,1.444,https://www.mouser.de/en/ProductDetail/Molex/53047-0810
