"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"A1";"Arduino_Nano";1;"Arduino_Nano_Every";;;
2;"C1, C4";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"0.1uF";;;
3;"C2";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"10uF";;;
4;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5817";;;
5;"F1";"FUSE_646_1_LTF";1;"64600001003";;;
6;"H1, H2, H3, H4, H5, H6";"MountingHole_3.2mm_M3";6;"MountingHole";;;
7;"IC1";"SOP50P326X110-16N";1;"TMUX4053DYYR";;;
8;"J1, J2, J3, J4";"Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal";4;"Conn_01x02_Pin";;;
9;"J5";"Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
10;"J6, J11";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
11;"J7";"Molex_PicoBlade_53047-0810_1x08_P1.25mm_Vertical";1;"Conn_01x08_Pin";;;
12;"J8, J12";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";2;"Camera Isolated triggers (open collector)";;;
13;"J9";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
14;"PS1, PS2, PS3, PS4";"CONV_RCDE-48-1.05";4;"RCDE-48-1.05";;;
15;"R1, R2, R3, R10, R11, R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";6;"10k";;;
16;"R4, R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"4.7k";;;
17;"R6, R7, R8, R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"220";;;
18;"TP1, TP2, TP3, TP4, TP5, TP6";"TestPoint_Pad_D2.0mm";6;"TestPoint";;;
19;"U2";"MSOP-10_3x3mm_P0.5mm";1;"MCP4728";;;
20;"U4";"Converter_DCDC_RECOM_R-78HB-0.5_THT";1;"R-78HB12-0.5";;;
21;"U5";"Converter_DCDC_RECOM_R-78HB-0.5_THT";1;"R-78HB5.0-0.5";;;
